AÃ‘O,Precipitacion (mm)
1965.0,197.6095298845994
1966.0,102.5106491566615
1967.0,246.46065436078874
1968.0,114.12618477819383
1969.0,154.92424932348678
1970.0,113.22824662796589
1971.0,95.4471942372813
1972.0,140.9349354785917
1973.0,173.01972861893788
1974.0,248.78371070697884
1975.0,173.17922969388647
1976.0,131.57551669459855
1977.0,139.89081885072287
1978.0,436.4249879744019
1979.0,171.01794336552496
1980.0,113.50304317573259
1981.0,116.98927758870741
1982.0,84.78189400687512
1983.0,103.84159196356131
1984.0,344.0494845463168
1985.0,61.71424922815065
1986.0,204.32395892626192
1987.0,139.10175075672564
1988.0,383.3452546944956
1989.0,132.99044901281798
1990.0,200.12286415902489
1991.0,93.14355901748382
1992.0,123.095039226463
1993.0,101.19737323034188
1994.0,123.9693164496644
1995.0,107.37625983594647
1996.0,123.030448002036
1997.0,199.24616777911416
1998.0,172.2294845057989
1999.0,100.7264820094889
2000.0,110.7383041178682
2001.0,406.63391746235385
2002.0,221.09019321653793
2003.0,253.19417971283946
2004.0,107.24792238306011
2005.0,157.15863428770166
2006.0,110.04375485151418
2007.0,276.96303555511344
2008.0,383.18299172085915
2009.0,181.63420647330585
2010.0,128.02739450743798
2011.0,206.03226742264707
2012.0,229.06609191319635
2013.0,135.12944498142235
2014.0,174.33642758965505
2015.0,158.15894618759214
2016.0,257.72724698186823
2017.0,428.11503302025267
2018.0,268.1916782828371
2019.0,414.7001661472872
2020.0,289.44407162793436
2021.0,233.0870186321733
